medal_date,medal_type,medal_code,name_x,gender_x,country_code_x,country_x,country_long_x,nationality_x,team,team_gender,discipline,event,event_type,url_event,birth_date_x,code_athlete,code_team,name_y,name_short,name_tv,gender_y,function,country_code_y,country_y,country_long_y,nationality_y,nationality_full,nationality_code,height,weight,disciplines,events,birth_date_y,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,family,lang,coach,reason,hero,influence,philosophy,sporting_relatives,ritual,other_sports
2024-08-08,Gold Medal,1.0,FUJINAMI Akari,Female,JPN,Japan,Japan,Japan,,,Wrestling,Women's Freestyle 53kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-53kg/fnl-000100--,2003-11-11,1939711,,FUJINAMI Akari,FUJINAMI A,FUJINAMI Akari,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0,0.0,['Wrestling'],"[""Women's Freestyle 53kg""]",2003-11-11,YOKKAICHI,Japan,,Japan,,,,,"Father, Toshikazu. Brother, Yuhi","English, Japanese",,,"Wrestler Takuto Otoguro (JPN), 2020 Olympic champion, 2018 world champion. ""I often watch and learn from his videos. He can score a tackle from anywhere. He's really amazing. Like that, I want to do wrestling that's fun to watch, where a lot happens."" (uww.org, 30 Sep 2021)",,,"Father, Toshikazu Fujinami (wrestling), competed in Japan's national trials ahead of the 1988 Olympic Games.</p><p>Brother, Yuhi Fujinami (wrestling), bronze medallist at the 2017 World Championships (70kg freestyle)",,
2024-08-08,Silver Medal,2.0,YEPEZ GUZMAN Lucia Yamileth,Female,ECU,Ecuador,Ecuador,Ecuador,,,Wrestling,Women's Freestyle 53kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-53kg/fnl-000100--,2001-02-18,1960228,,YEPEZ GUZMAN Lucia Yamileth,YEPEZ GUZMAN LY,Lucia Yamileth YEPEZ GUZMAN,Female,Athlete,ECU,Ecuador,Ecuador,Ecuador,Ecuador,ECU,0,0.0,['Wrestling'],"[""Women's Freestyle 53kg""]",2001-02-18,MOCACHE,Ecuador,,Ecuador,La Tigra (The Tiger),,,,,Spanish,Personal: Jorge Gonzalez (ECU),,,,"“You grow by challenging yourself. Never say, 'I give up’. Always say, 'I can, and I will keep trying until I achieve victory’.” (Instagram, 21 Oct 2022)",,,
2024-08-08,Bronze Medal,3.0,CHOE Hyo Gyong,Female,PRK,DPR Korea,Democratic People's Republic of Korea,DPR Korea,,,Wrestling,Women's Freestyle 53kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-53kg/repf000100--,2000-05-10,1980149,,CHOE Hyo Gyong,CHOE HG,CHOE Hyo Gyong,Female,Athlete,PRK,DPR Korea,Democratic People's Republic of Korea,DPR Korea,Democratic People's Republic of Korea,PRK,0,0.0,['Wrestling'],"[""Women's Freestyle 53kg""]",2000-05-10,,,,,,,Athlete,,,Korean,,,,,,,,
2024-08-08,Bronze Medal,3.0,PANG Qianyu,Female,CHN,China,People's Republic of China,China,,,Wrestling,Women's Freestyle 53kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-53kg/repf000200--,1996-11-13,1920006,,PANG Qianyu,PANG Q,PANG Qianyu,Female,Athlete,CHN,China,People's Republic of China,China,People's Republic of China,CHN,0,0.0,['Wrestling'],"[""Women's Freestyle 53kg""]",1996-11-13,SHAOSHAN,China,,China,Xiao Pang (Little Pang),"Football, basketball",Athlete,Physical Education at Wuhan Sports University (CHN),,Mandarin,,Was spotted by a wrestling coach while she was taking part in a sports meet at her primary school,"Footballer Cristiano Ronaldo (POR), won five Champions Leagues, seven league titles and five Ballon d’Or awards during his time at Manchester United, Real Madrid and Juventus. Won Euro 2016 with Portugal and is international football’s all-time top scorer and appearance maker",Her first coach Wang Jun,"""I have been dealing with myself for a long time. I'd rather be myself. Be yourself."" (Athlete, 24 Sep 2023)",,Likes to get a haircut before competitions,
2024-08-09,Gold Medal,1.0,BENJAMIN Rai,Male,USA,United States,United States of America,United States,,,Athletics,Men's 400m Hurdles,ATH,/en/paris-2024/results/athletics/men-s-400m-hurdles/fnl-000100--,1997-07-27,1960684,,BENJAMIN Rai,BENJAMIN R,Rai BENJAMIN,Male,Athlete,USA,United States,United States of America,United States,United States of America,USA,190,0.0,['Athletics'],"[""Men's 400m Hurdles"", ""Men's 4 x 400m Relay""]",1997-07-27,"MOUNT VERNON, NY",United States,"LOS ANGELES, CA",United States,,"Cycling, cooking. “You just got to cook and I like it a lot. I think it’s really cool. I’ll watch Bon Appetit videos on YouTube and then (get) inspired and then I’d even go online and look at a bunch of their recipes… It’s like, boom, find the recipe, run to Whole Foods, grab whatever, come home.” (usmagazine.com, 19 Jul 2021)",Athlete,"Studied Political Science at the University of California, Los Angeles (UCLA) from 2015-2016, then transferred to the University of Southern California (USC) in Los Angeles (CA, USA), graduating in 2019","Father, Winston Benjamin. Mother, Jeanette Mason",English,"Personal: Quincy Watts (USA), two-time 1992 Olympic champion (400m, 4x400m relay). Joanna Hayes (USA), 2004 Olympic 100m hurdles champion",Was originally involved in cricket (wanted to become a batsman) and American football (quarterback) before switching to athletics,,His parents,"The lessons he has learned will aid him in his pursuit of gold at Paris 2024. He believes surroundings shape a person and being around successful individuals influences success.</p><p>“I always say, chase excellence, chase perfection - and if you fall, you fall into success.” (olympics.com, 21 Aug 2023)","Father, Winston Benjamin (cricket), played 21 Test matches and 85 One Day Internationals for the West Indies (1986–1995)","Helped calm his nerves before races in college by watching the television show Friends. Now he still needs to relax before big races so he watches random, funny YouTube videos including cooking shows. Also listens to calm music",
2024-08-09,Silver Medal,2.0,WARHOLM Karsten,Male,NOR,Norway,Norway,Norway,,,Athletics,Men's 400m Hurdles,ATH,/en/paris-2024/results/athletics/men-s-400m-hurdles/fnl-000100--,1996-02-28,1894095,,WARHOLM Karsten,WARHOLM K,Karsten WARHOLM,Male,Athlete,NOR,Norway,Norway,Norway,Norway,NOR,188,0.0,['Athletics'],"[""Men's 400m Hurdles""]",1996-02-28,ULSTEINVIK,Norway,OSLO,Norway,,"Building Lego, spending time with family",Athlete,,"Partner, Oda Djupvik. Father, Mikal. Mother, Kristine Golin Haddal","English, Norwegian",Personal: Leif Olav Alnes (NOR),"“I was actually visiting the city centre. Then a friend of mine, he was in the track and field club, came and said, 'You need to join this race'. I was there in my jeans and this t-shirt that was way too big for me. I joined the race and I won, I think it was a 200m race, just around a county building. That was when I started and after that I was always going to practices, I was always there and had all my friends in the track and field environment.” (myInfo)",,,,,"He prefers to run in lane seven. “It's actually just because my coach, who is really careful, wanted me to run very far out of the bend because there is less impact on the body as the bend is wider. It's also because he wants me to have a long career and try not to get injured. But of course, in championships you have got to run on the lane that you get and that is not a problem for me, but if I get to choose, I will always have lane seven. It has become a thing that I'm comfortable with.”  (myInfo)",
2024-08-09,Bronze Medal,3.0,dos SANTOS Alison,Male,BRA,Brazil,Brazil,Brazil,,,Athletics,Men's 400m Hurdles,ATH,/en/paris-2024/results/athletics/men-s-400m-hurdles/fnl-000100--,2000-06-03,1951913,,dos SANTOS Alison,dos SANTOS A,Alison dos SANTOS,Male,Athlete,BRA,Brazil,Brazil,Brazil,Brazil,BRA,198,0.0,['Athletics'],"[""Men's 400m Hurdles"", ""Men's 4 x 400m Relay""]",2000-06-03,SAO JOAQUIM DA BARRA,Brazil,"CLAREMONT, FL",Brazil,Piu,"Video games, Taylor Swift music",Athlete,,"Father, Gerson. Mother, Sueli. Sisters, Drieli, Andrieli, and Anieli","English, Portuguese",Personal: Felipe de Siqueira da Silva (BRA),To earn money and support his family,,,,,,
2024-08-09,Gold Medal,1.0,DIAZ FORTUN Jordan Alejandro,Male,ESP,Spain,Spain,Spain,,,Athletics,Men's Triple Jump,ATH,/en/paris-2024/results/athletics/men-s-triple-jump/fnl-000100--,2001-02-23,1904099,,DIAZ FORTUN Jordan Alejandro,DIAZ FORTUN JA,Jordan Alejandro DIAZ FORTUN,Male,Athlete,ESP,Spain,Spain,Spain,Spain,ESP,190,0.0,['Athletics'],"[""Men's Triple Jump""]",2001-02-23,HAVANA,Cuba,GUADALAJARA,Spain,,,Athlete,,,Spanish,Personal: Ivan Pedroso (ESP),Started athletics at school. He wanted to leave the sport after his friends did so but his mother made him stick with it as she did not want him playing video games all the time,"Triple jumper Christian Taylor (USA), two-time Olympic champion (2012, 2016), four-time world champion (2011, 2015, 2017, 2019)",,,,,
2024-08-09,Silver Medal,2.0,PICHARDO Pedro,Male,POR,Portugal,Portugal,Portugal,,,Athletics,Men's Triple Jump,ATH,/en/paris-2024/results/athletics/men-s-triple-jump/fnl-000100--,1993-06-30,1938792,,PICHARDO Pedro,PICHARDO P,Pedro PICHARDO,Male,Athlete,POR,Portugal,Portugal,Portugal,Portugal,POR,185,0.0,['Athletics'],"[""Men's Triple Jump""]",1993-06-30,SANTIAGO DE CUBA,Cuba,SETUBAL,Portugal,4P (All four of the initials of his name - Pedro Pablo Pichardo Peralta - begin with the letter P),,Athlete,,"One daughter. Father, Jorge. Mother was a dancer","English, Portuguese, Spanish","Personal: Jorge Pichardo (CUB), his father",His father introduced him to triple jump and he found he was suited to it,,,,,,
2024-08-09,Bronze Medal,3.0,DIAZ HERNANDEZ Andy,Male,ITA,Italy,Italy,Italy,,,Athletics,Men's Triple Jump,ATH,/en/paris-2024/results/athletics/men-s-triple-jump/fnl-000100--,1995-12-25,1552375,,DIAZ HERNANDEZ Andy,DIAZ HERNANDEZ A,Andy DIAZ HERNANDEZ,Male,Athlete,ITA,Italy,Italy,Italy,Italy,ITA,192,0.0,['Athletics'],"[""Men's Triple Jump""]",1995-12-25,HAVANA,Cuba,ROME,Italy,Il Leone,Dancing,Athlete,Electronics at UCCFD Manuel Fajardo (CUB),"Father, Andres Diaz Salas. Mother, Milagros Hernandez Gomez","Italian, Spanish",Fabrizio Donato (ITA),,"Triple jumpers:<br>Fabrizio Donato (ITA), 2012 Olympic bronze medallist, five-time Olympian (2000, 2004, 2008, 2012, 2016), 2012 European champion. </p><p>Jonathan Edwards (GBR), two-time Olympic medallist (2000 gold, 1996 silver), four-time Olympian (1988, 1992, 1996, 2000), five-time world championship medallist (two gold, one silver, two bronze). </p><p>Christian Taylor (USA), two-time Olympic champion (2012, 2016), four-time world champion (2011, 2015, 2017, 2019).</p><p>Yoelbi Quesada (CUB), 1996 Olympic bronze medallist, four-time Olympian (1992, 1996, 2000, 2004), 1997 world champion",Mother,,"Cousin, Osniel Tosca (athletics), 2007 World Championships finalist (fourth), 2008 World Indoor Championships finalist (sixth), 2001 World Youth Championships bronze medallist",,
2024-08-09,Gold Medal,1.0,CHEBET Beatrice,Female,KEN,Kenya,Kenya,Kenya,,,Athletics,"Women's 10,000m",ATH,/en/paris-2024/results/athletics/women-s-10-000m/fnl-000100--,2000-03-05,1910560,,CHEBET Beatrice,CHEBET B,Beatrice CHEBET,Female,Athlete,KEN,Kenya,Kenya,Kenya,Kenya,KEN,152,0.0,['Athletics'],"[""Women's 10,000m"", ""Women's 5000m""]",2000-03-05,,Kenya,KERICHO,Kenya,,"Watching movies, listening to gospel music","Athlete, police officer",,"Father, Fancis Kirui. Mother, Lilian Chepkoech (farmers). Grandmother, Pauline Langat. Second born of seven children","English, Swahili",Personal: Gabriel Kiptanui (KEN),"In 2016 a neighbour noticed her talent and persuaded her grandmother, who she was living with, to let her join an athletics camp. The Lemotit Athletics Camp had produced two medallists at the 2015 World U18 Championships - Emily Chebet in the 3000m, and Sandrafelis Chebet in the 2000m steeplechase. “Sandra and Emily's story was so good that my grandmother couldn't resist the urge to let me pursue athletics.” (nation.africa, 7 Aug 2023)","Distance runner Hellen Obiri (KEN), two-time Olympic 5000m silver medallist (2016, 2020), four-time World Championships medallist (two gold, one silver, one bronze), two-time World Indoor medallist (one gold, one silver), 2019 World Cross Country champion.</p><p>“She is someone I have admired for a long time and interacted with in many competitions. She is always quick to wish me good luck in every race I am participating (in). When I heard that she was planning on transitioning to the road races, I knew this was my chance to progress up the ladder. She also encouraged me, telling me that I have all the ingredients to one day become a world champion and rule the women’s 5000m.” (capitalfm.co.ke, 25 Jul 2022)",,,,,
2024-08-09,Silver Medal,2.0,BATTOCLETTI Nadia,Female,ITA,Italy,Italy,Italy,,,Athletics,"Women's 10,000m",ATH,/en/paris-2024/results/athletics/women-s-10-000m/fnl-000100--,2000-04-12,1552305,,BATTOCLETTI Nadia,BATTOCLETTI N,Nadia BATTOCLETTI,Female,Athlete,ITA,Italy,Italy,Italy,Italy,ITA,170,0.0,['Athletics'],"[""Women's 10,000m"", ""Women's 5000m""]",2000-04-12,CLES,Italy,TRENTO,Italy,,"Music, reading, playing tennis, watching television series","Police, athlete","Architecture, Building and Construction Engineering at the University of Trento (ITA)","Partner, Jacopo De Marchi. Father, Giuliano. Mother, Jawhara Saddougui (MAR)","Arabic, English, Italian","Personal: Giuliano Battocletti (ITA), her father","Was influenced by her father, a former middle distance runner. “The event that changed my life was the historic Ciaspolada della Val di Non, a snowshoe race that my father won for the third time in 2007. The organisers told me that, if I wanted to, I could symbolically run the final stretch with him and that allowed me to cross the first finish line of my life. There were many more to follow.” (myInfo)","Tennis player Roger Federer (SUI), 20-time Grand Slam singles champion, 2008 Olympic doubles champion, 2012 Olympic singles silver medallist. </p><p>Middle distance runner Hicham El Guerrouj (MAR), two-time 2004 Olympic champion (1500m, 5000m) and 2000 silver medallist (1500m), four-time 1500m world champion (1997, 1999, 2001, 2003)",Her parents,,"Father, Giuliano Battocletti (athletics), 1994 World Junior Championships 5000m bronze medallist, 5000m personal best: 13.20.88 in 1999. Competed for Italy at eight world cross country championships.</p><p>Her mother was also a runner",,
2024-08-09,Bronze Medal,3.0,HASSAN Sifan,Female,NED,Netherlands,Netherlands,Netherlands,,,Athletics,"Women's 10,000m",ATH,/en/paris-2024/results/athletics/women-s-10-000m/fnl-000100--,1993-01-01,1972105,,HASSAN Sifan,HASSAN S,Sifan HASSAN,Female,Athlete,NED,Netherlands,Netherlands,Netherlands,Netherlands,NED,170,0.0,['Athletics'],"[""Women's 10,000m"", ""Women's 5000m"", ""Women's Marathon""]",1993-01-01,ADAMA,Ethiopia,,,,,Athlete,"Health and Welfare Studies at Summa College (Eindhoven, NED)",,"Amharic, Dutch, English","Personal: Tim Rowberry (USA), since 2019",Running was her way of unwinding,,,"""The feeling of winning is so beautiful I just want to win."" (myInfo)",,,
2024-08-09,Gold Medal,1.0,PAULINO Marileidy,Female,DOM,Dominican Republic,Dominican Republic,Dominican Republic,,,Athletics,Women's 400m,ATH,/en/paris-2024/results/athletics/women-s-400m/fnl-000100--,1996-10-25,1899666,,PAULINO Marileidy,PAULINO M,Marileidy PAULINO,Female,Athlete,DOM,Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,DOM,172,0.0,['Athletics'],"[""Women's 400m""]",1996-10-25,NIZAO,Dominican Republic,SANTO DOMINGO,Dominican Republic,,"Spending time at the beach, by the river or in the countryside. Enjoys dancing and spending time with loved ones, trading jokes, having good food and wine","Athlete, student, Dominican Air Force",Physical Education at Universidad Autonoma de Santo Domingo (DOM),"Mother, Anatalia. Second-youngest of six siblings",Spanish,Personal: Yaseen Perez (CUB),Was offered a monthly salary to join the Air Force,,,“Patience in the process.” (myInfo),,,
2024-08-09,Silver Medal,2.0,NASER Salwa Eid,Female,BRN,Bahrain,Bahrain,Bahrain,,,Athletics,Women's 400m,ATH,/en/paris-2024/results/athletics/women-s-400m/fnl-000100--,1998-05-23,1915338,,NASER Salwa Eid,NASER SE,Salwa Eid NASER,Female,Athlete,BRN,Bahrain,Bahrain,Bahrain,Bahrain,BRN,168,0.0,['Athletics'],"[""Women's 400m""]",1998-05-23,ONITSHA,Nigeria,,,,,Athlete,,"Boyfriend, Iwunor Anselm Chibuzor (hip hop artist known as Richplug)",English,Personal: Jose Rubio (DOM),,,,,,,
2024-08-09,Bronze Medal,3.0,KACZMAREK Natalia,Female,POL,Poland,Poland,Poland,,,Athletics,Women's 400m,ATH,/en/paris-2024/results/athletics/women-s-400m/fnl-000100--,1998-01-17,1573098,,KACZMAREK Natalia,KACZMAREK N,Natalia KACZMAREK,Female,Athlete,POL,Poland,Poland,Poland,Poland,POL,174,0.0,['Athletics'],"[""Women's 400m"", ""Women's 4 x 400m Relay""]",1998-01-17,DREZDENKO,Poland,,,,"Tennis, watching films and television shows",Athlete,"Physiotherapy, Sport Studies at University School of Physical Education (Wroclaw, POL)","Partner, Konrad Bukowiecki",Polish,Personal: Marek Rozej (POL),Played volleyball when she was in primary school but did not enjoy it. Started cross-country running in high school and coach Tomasz Saska invited her to join the ALKS PWSZ club after he watched her win a race,"Tennis player Novak Djokovic (SRB), has won an all-time record 24 Grand Slam men's singles titles (as of 10 SEP 2023), 2008 Olympic bronze medallist (singles), four-time Olympian (2008, 2012, 2016, 2020)",,,"Partner, shot putter Konrad Bukowiecki (POL), 2017 European indoor champion, 2018 European silver medallist, two-time world championships finalist. Personal best: 22.25m in 2019",,
2024-08-09,Gold Medal,1.0,OGUNLEYE Yemisi,Female,GER,Germany,Germany,Germany,,,Athletics,Women's Shot Put,ATH,/en/paris-2024/results/athletics/women-s-shot-put/fnl-000100--,1998-10-03,1920183,,OGUNLEYE Yemisi,OGUNLEYE Y,Yemisi OGUNLEYE,Female,Athlete,GER,Germany,Germany,Germany,Germany,GER,185,0.0,['Athletics'],"[""Women's Shot Put""]",1998-10-03,BELLHEIM,Germany,KARLSRUHE,Germany,Yemi,,"Athlete, sports soldier",Special Education at Heidelberg University of Education (GER),Father is Nigerian. Mother is German,German,Personal: Michael Manke-Reimers (GER),"She wanted to try something other than gymnastics. Found a coach, Kurt Buttler, at TSG Hassloch in Bellheim, Germany and was offered a chance to try athletics",,,,,,
2024-08-09,Silver Medal,2.0,WESCHE Maddison-Lee,Female,NZL,New Zealand,New Zealand,New Zealand,,,Athletics,Women's Shot Put,ATH,/en/paris-2024/results/athletics/women-s-shot-put/fnl-000100--,1999-06-13,1926695,,WESCHE Maddison-Lee,WESCHE ML,Maddison-Lee WESCHE,Female,Athlete,NZL,New Zealand,New Zealand,New Zealand,New Zealand,NZL,174,0.0,['Athletics'],"[""Women's Shot Put""]",1999-06-13,AUCKLAND,New Zealand,,New Zealand,Maddi,,Athlete,Bachelor of Arts in Psychology at Massey University (NZL),"Father, Hans (passed away in Jan 2020, age 43). Mother, Renee. Two sisters (Tayla, Ash)",English,Personal: Mike Schofield (NZL) - strength and conditioning / Walter Gill (NZL) - sport technical,"From a sports-oriented family, her father was involved in basketball, and her mother in field hockey. With no specific expectations she decided to give the shot put a try. Finished in the top three in her initial competition and was instantly hooked. ""I enjoyed the thrill of it, the satisfaction of performing well and achieving impressive throws. Being the strongest girl in the class, I took pleasure in putting that strength into practice."" (nzherald.co.nz, 17 May 2018)",,,"Wears trademark sunglasses as her lucky charm. ""An essential part of the comp kit. I train with them most times that I'm throwing, because it's pretty sunny in Auckland most of the time, but maybe they're a bit of a comfort thing for me."" (rnz.co.nz, 2 Aug 2021)</p><p>Striving for composure and happiness, she aims to embody being ""cool, calm, and happy"" in her throwing, thriving on the challenges of competition",,,
2024-08-09,Bronze Medal,3.0,SONG Jiayuan,Female,CHN,China,People's Republic of China,China,,,Athletics,Women's Shot Put,ATH,/en/paris-2024/results/athletics/women-s-shot-put/fnl-000100--,1997-09-15,1919065,,SONG Jiayuan,SONG J,SONG Jiayuan,Female,Athlete,CHN,China,People's Republic of China,China,People's Republic of China,CHN,185,0.0,['Athletics'],"[""Women's Shot Put""]",1997-09-15,SHANGHAI,China,,China,,,Athlete. Secretary of the Youth League Committee of the Track and Field Sports Center of the Shanghai Competitive Sports Training Management Center,Graduate of Business Administration from Shanghai University (CHN),,Mandarin,"Personal: Sui Xinmei (CHN), 1996 Olympic shot put silver medallist, 1991 world indoor champion",,,,,,,
2024-08-09,Gold Medal,1.0,MUYDINKHUJAEV Asadkhuja,Male,UZB,Uzbekistan,Uzbekistan,Uzbekistan,,,Boxing,Men's 71kg,HATH,/en/paris-2024/results/boxing/men-s-71kg/fnl-000100--,2001-05-08,1556797,,MUYDINKHUJAEV Asadkhuja,MUYDINKHUJAEV A,Asadkhuja MUYDINKHUJAEV,Male,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,174,0.0,['Boxing'],"[""Men's 71kg""]",2001-05-08,FERGANA,Uzbekistan,FERGANA,Uzbekistan,,,,,,Uzbek,,,,,,,,
2024-08-09,Silver Medal,2.0,VERDE ALVAREZ Marco Alonso,Male,MEX,Mexico,Mexico,Mexico,,,Boxing,Men's 71kg,HATH,/en/paris-2024/results/boxing/men-s-71kg/fnl-000100--,2002-02-11,1535187,,VERDE ALVAREZ Marco Alonso,VERDE ALVAREZ MA,Marco Alonso VERDE ALVAREZ,Male,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,180,0.0,['Boxing'],"[""Men's 71kg""]",2002-02-11,MAZATLAN,Mexico,MAZATLAN,Mexico,Green,,,,"Father, Manuel",Spanish,Personal: Radames Hernandez (MEX),"Played baseball for seven or eight years, before following his father Manuel into boxing - even though Manuel wanted Marco to stick with a baseball glove rather than switch to boxing gloves",,,,"Father, Manuel Verde (boxing), competed for Mexico in the men's light heavyweight division at the Barcelona 1992 Olympic Games",,
2024-08-09,Gold Medal,1.0,MULLOJONOV Lazizbek,Male,UZB,Uzbekistan,Uzbekistan,Uzbekistan,,,Boxing,Men's 92kg,HATH,/en/paris-2024/results/boxing/men-s-92kg/fnl-000100--,1999-05-13,1556860,,MULLOJONOV Lazizbek,MULLOJONOV L,Lazizbek MULLOJONOV,Male,Athlete,UZB,Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan,UZB,192,0.0,['Boxing'],"[""Men's 92kg""]",1999-05-13,FERGANA,Uzbekistan,FERGANA,Uzbekistan,,,,,,Uzbek,,,,,,,,
2024-08-09,Silver Medal,2.0,ALFONSO DOMINGUEZ Loren Berto,Male,AZE,Azerbaijan,Azerbaijan,Azerbaijan,,,Boxing,Men's 92kg,HATH,/en/paris-2024/results/boxing/men-s-92kg/fnl-000100--,1995-07-28,1972343,,ALFONSO DOMINGUEZ Loren Berto,ALFONSO DOMINGUEZ,Loren Berto ALFONSO DOMINGUEZ,Male,Athlete,AZE,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,AZE,189,0.0,['Boxing'],"[""Men's 92kg""]",1995-07-28,HAVANA,Cuba,BAKU,Azerbaijan,,"Music, singing",,,"Wife, Nigar. Two children","Azerbaijani, English, Spanish",National: Anar Mammadov (AZE),,"Boxer Felix Savon (CUB), three-time Olympic heavyweight champion (1992, 1996, 2000), six-time world heavyweight champion (1986, 1989, 1991, 1993, 1995, 1997)",His family,,,,
2024-08-09,Gold Medal,1.0,WU Yu,Female,CHN,China,People's Republic of China,China,,,Boxing,Women's 50kg,HATH,/en/paris-2024/results/boxing/women-s-50kg/fnl-000100--,1995-01-13,1926833,,WU Yu,WU Y,WU Yu,Female,Athlete,CHN,China,People's Republic of China,China,People's Republic of China,CHN,160,0.0,['Boxing'],"[""Women's 50kg""]",1995-01-13,GUIDING,China,BEIJING,China,Yu Zai (given by her family),"Dancing, singing, travelling",Athlete,"Graduated with a Bachelor's degree in Sport Studies from Fujian Normal University (Fuzhou, CHN)","Father, Wu Yongxue. Mother, Li Yan. Brother, Wu Jianpeng. Sister, Wu Xue",Mandarin,National: Zhao Yong (CHN),,,"Her mother. ""I come from a single-parent family. My mother is a strong woman, who raised three children all by herself. I watched her getting up early and going to bed late and I've seen how hard it was for her, so I want her to enjoy a good life when she is older."" (Athlete, 8 Jun 2024)","""Surpass yourself, overcome yourself."" (Athlete, 8 Jun 2024)",,,
2024-08-09,Silver Medal,2.0,CAKIROGLU Buse Naz,Female,TUR,Türkiye,Türkiye,Türkiye,,,Boxing,Women's 50kg,HATH,/en/paris-2024/results/boxing/women-s-50kg/fnl-000100--,1996-05-26,1568182,,CAKIROGLU Buse Naz,CAKIROGLU BN,Buse Naz CAKIROGLU,Female,Athlete,TUR,Türkiye,Türkiye,Türkiye,Türkiye,TUR,164,0.0,['Boxing'],"[""Women's 50kg""]",1996-05-26,TRABZON,Türkiye,,Türkiye,,,"Athlete, PE teacher","Physical Education and Sport at Duzce University (Duzce, TUR)",,"English, Turkish",Personal: Nazim Yigit (TUR),In 2009 she accompanied her brother to the gym to help him rebuild strength in his broken elbow. One of the coaches spotted her there and told her mother that she had a lot of potential. In 2010 her mother allowed her to start boxing,,Her family,"""I think that working hard and being consistent in whatever you dream and aim for brings success, and adding something new to your life by improving yourself always adds a plus to your life."" (hurriyet.com.tr, 26 Feb 2021)</p><p>""Every person who does not give up despite difficulties, does not lose hope and fights for their dreams has inspired me."" (kadinlarbilir.com, 29 May 2021)",,Listens to music before each fight,
2024-08-09,Gold Medal,1.0,KHELIF Imane,Female,ALG,Algeria,Algeria,Algeria,,,Boxing,Women's 66kg,HATH,/en/paris-2024/results/boxing/women-s-66kg/fnl-000100--,1999-05-02,1540353,,KHELIF Imane,KHELIF I,Imane KHELIF,Female,Athlete,ALG,Algeria,Algeria,Algeria,Algeria,ALG,178,0.0,['Boxing'],"[""Women's 66kg""]",1999-05-02,TIARET,Algeria,TIARET,Algeria,,Cooking,Athlete,,,"Arabic, French",Club: Mohamed Al-Shawa,"Started boxing after watching the sport at the Rio 2016 Olympic Games. Despite having to travel 10 kilometres by bus from her small village to the boxing gym, she fell in love with the sport on her first day of training. To pay for the bus fare, she sold scrap metal for recycling and her mother sold couscous","Boxer Muhammad Ali, born Cassius Clay (USA), former undisputed heavyweight champion of the world, 1960 Olympic champion (light heavyweight), nicknamed 'The Greatest' and regarded as one of the most significant sports figures of the 20th century",Coach Mohamed Al-Shawa,,,,
2024-08-09,Silver Medal,2.0,YANG Liu,Female,CHN,China,People's Republic of China,China,,,Boxing,Women's 66kg,HATH,/en/paris-2024/results/boxing/women-s-66kg/fnl-000100--,1992-05-20,1926827,,YANG Liu,YANG L,YANG Liu,Female,Athlete,CHN,China,People's Republic of China,China,People's Republic of China,CHN,178,0.0,['Boxing'],"[""Women's 66kg""]",1992-05-20,,China,,China,,,Athlete,"Ocean University of China (Qingdao, CHN)",,Mandarin,Personal: Hada Bateer (CHN),Her talent was discovered by a coach,,,,,,
2024-08-09,Gold Medal,1.0,AMI,Female,JPN,Japan,Japan,Japan,,,Breaking,B-Girls,HATH,/en/paris-2024/results/breaking/b-girls/fnl-000100--,1998-12-11,1953038,,AMI,AMI,AMI,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0,0.0,['Breaking'],['B-Girls'],1998-12-11,KAWAGUCHI,Japan,,Japan,,,,"English and American Literature at Komazawa University (Tokyo, JPN)",,Japanese,,"“It’s a joy when I achieve the tricks and power moves after hard hours of practising. Winning a battle is also amazing but at the same time, meeting people from all over the world has become an inspiration for me. These precious encounters and experiences with different dancers mean so much to me.” (forbes.com, 23 Oct 2018)",,"Has been tutored by Japan's leading B-Boys, first learning from B-Boy Katsu One, then B-Boy Taisuke and B-Boy Wata. Ami respects these people and uses them as a source of inspiration",Focuses on the 'now' and does not think about the future but says she will continue to break when she retires from competing,"Sister, Ayu Yuasa (breaking), bronze medallist at the 2021 World Championships finishing behind Ami who claimed silver",,
